"日期","收盘","开盘","高","低","交易量","涨跌幅"
"2017年10月16日","5,764.40","5,712.20","5,803.20","5,570.40","31.41K","1.15%"
"2017年10月15日","5,698.60","5,838.70","5,876.90","5,450.00","57.34K","-2.34%"
"2017年10月14日","5,835.00","5,636.80","5,854.30","5,567.30","36.81K","3.52%"
"2017年10月13日","5,636.80","5,440.00","5,874.30","5,376.00","99.15K","3.84%"
"2017年10月12日","5,428.50","4,824.90","5,437.60","4,815.10","79.26K","12.51%"
"2017年10月11日","4,824.90","4,777.70","4,879.50","4,715.00","28.92K","1.00%"
"2017年10月10日","4,777.00","4,782.30","4,940.00","4,717.50","42.68K","-0.11%"
"2017年10月9日","4,782.30","4,612.40","4,874.90","4,551.30","48.93K","3.67%"
"2017年10月8日","4,613.10","4,435.90","4,630.00","4,417.60","29.86K","3.99%"
"2017年10月7日","4,436.00","4,370.00","4,477.10","4,316.10","17.41K","1.49%"
"2017年10月6日","4,371.00","4,312.60","4,424.50","4,294.00","25.94K","1.29%"
"2017年10月5日","4,315.40","4,215.90","4,364.60","4,134.90","25.36K","2.38%"
"2017年10月4日","4,215.10","4,310.60","4,353.80","4,177.70","26.37K","-2.23%"
"2017年10月3日","4,311.10","4,399.30","4,439.90","4,222.00","28.54K","-2.02%"
"2017年10月2日","4,400.10","4,404.30","4,482.00","4,359.80","29.08K","-0.10%"
"2017年10月1日","4,404.30","4,366.60","4,420.50","4,257.70","29.23K","0.85%"
"2017年9月30日","4,367.00","4,168.10","4,393.40","4,160.10","31.50K","4.73%"
"2017年9月29日","4,169.90","4,190.00","4,244.60","4,024.70","38.94K","-0.48%"
"2017年9月28日","4,190.00","4,207.50","4,268.60","4,125.00","36.57K","-0.37%"
"2017年9月27日","4,205.40","3,881.60","4,226.50","3,878.10","48.62K","8.41%"
"2017年9月26日","3,879.10","3,930.00","3,983.00","3,850.90","21.41K","-1.30%"
"2017年9月25日","3,930.00","3,654.70","3,977.00","3,654.70","40.15K","7.59%"
"2017年9月24日","3,652.80","3,779.60","3,781.30","3,620.00","20.88K","-3.35%"
"2017年9月23日","3,779.60","3,598.70","3,808.00","3,559.10","25.64K","5.03%"
"2017年9月22日","3,598.50","3,597.30","3,743.60","3,493.50","49.24K","-0.14%"
"2017年9月21日","3,603.40","3,875.50","3,903.70","3,564.40","56.98K","-6.97%"
"2017年9月20日","3,873.20","3,892.20","4,048.00","3,834.10","33.21K","-0.69%"
"2017年9月19日","3,900.00","4,084.40","4,110.00","3,836.20","47.77K","-4.51%"
"2017年9月18日","4,084.10","3,667.00","4,113.90","3,667.00","58.98K","11.40%"
"2017年9月17日","3,666.30","3,680.10","3,775.90","3,476.30","37.05K","-0.52%"
"2017年9月16日","3,685.40","3,697.10","3,874.00","3,511.10","70.74K","-0.34%"
"2017年9月15日","3,698.00","3,237.40","3,809.00","2,981.00","183.11K","14.20%"
"2017年9月14日","3,238.10","3,850.20","3,917.20","3,206.20","127.51K","-15.89%"
"2017年9月13日","3,849.70","4,149.40","4,159.60","3,734.00","71.51K","-7.08%"
"2017年9月12日","4,142.90","4,198.90","4,378.40","4,055.50","40.04K","-1.43%"
"2017年9月11日","4,203.00","4,234.90","4,373.10","4,123.00","30.90K","-0.69%"
"2017年9月10日","4,232.10","4,315.40","4,325.00","3,975.80","45.87K","-1.99%"
"2017年9月9日","4,317.90","4,304.00","4,381.20","4,159.40","31.11K","0.28%"
"2017年9月8日","4,305.80","4,613.50","4,686.20","4,107.10","60.93K","-6.67%"
"2017年9月7日","4,613.50","4,594.60","4,672.80","4,465.30","23.13K","0.53%"
"2017年9月6日","4,589.10","4,375.00","4,631.40","4,361.40","39.00K","4.90%"
"2017年9月5日","4,374.90","4,210.60","4,469.90","3,900.10","57.73K","4.15%"
"2017年9月4日","4,200.40","4,599.20","4,606.00","4,056.50","59.08K","-8.59%"
"2017年9月3日","4,595.00","4,534.20","4,699.80","4,331.00","33.56K","1.34%"
"2017年9月2日","4,534.40","4,911.80","4,969.00","4,400.50","55.03K","-7.55%"
"2017年9月1日","4,904.90","4,718.30","4,927.40","4,660.70","28.71K","3.96%"
"2017年8月31日","4,718.20","4,567.90","4,749.90","4,567.90","18.47K","3.27%"
"2017年8月30日","4,569.00","4,586.60","4,641.10","4,481.10","17.07K","-0.39%"
"2017年8月29日","4,587.10","4,385.10","4,644.20","4,336.70","32.70K","4.64%"
"2017年8月28日","4,383.80","4,330.70","4,395.20","4,175.70","21.22K","1.20%"
"2017年8月27日","4,331.80","4,340.20","4,405.70","4,305.00","11.16K","-0.23%"
